"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Homicide Firearm","1999","10828","279040238","3.88","3.82259045227391"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Homicide Firearm","2000","10801","282171936","3.83","3.77670424131801"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Homicide Firearm","2001","11348","284968955","3.98","3.93253427982126"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Homicide Firearm","2002","11829","287625193","4.11","4.06808584200971"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Homicide Firearm","2003","11920","290107933","4.11","4.0692273737428"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Homicide Firearm","2004","11624","292805298","3.97","3.93870782286415"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Homicide Firearm","2005","12352","295516599","4.18","4.16591089489878"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Homicide Firearm","2006","12791","298379912","4.29","4.27360427638201"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Homicide Firearm","2007","12632","301231207","4.19","4.20410318874206"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Homicide Firearm","2008","12179","304093966","4.01","4.02903607858268"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Homicide Firearm","2009","11493","306771529","3.75","3.77786360459606"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Homicide Firearm","2010","11078","308747508","3.59","3.62124979302417"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Homicide Firearm","2011","11068","311663358","3.55","3.59231133758039"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Homicide Firearm","2012","11622","313998379","3.7","3.75653297401752"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Homicide Firearm","2013","11208","316204908","3.54","3.60279563567852"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Homicide Firearm","2014","11008","318563456","3.46","3.528151179391"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Homicide Firearm","2015","12979","320896618","4.04","4.14066180260479"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Homicide Firearm","2016","14415","323127513","4.46","4.59807464678762"
"Both Sexes","All Races","United States","Both","All Ages","1999","2016","Homicide Firearm","","213175","5435914506","3.92","."
